,train_loss,test_loss
0,72174.16394856772,71400.82977864583
1,70430.46914388021,70624.9937890625
2,70220.04537434896,70653.94002604167
3,70226.34541666666,70625.038203125
4,70223.63874348959,70632.3067578125
5,70235.7206640625,70578.92958333333
6,70205.67482747395,70702.46657552083
7,70206.37274414062,70701.08375
8,70231.73986328125,70600.101328125
9,70228.01172526041,70614.79490885416
10,70224.30773111978,70631.49231770834
11,70231.04986002605,70602.1384375
12,70222.32931640625,70635.18770833334
13,70220.34654947916,70642.8629296875
14,70240.02996744792,70564.90623697916
15,70234.0671907552,70591.43122395834
16,70202.20712239583,70718.25453125
17,70227.45791992187,70619.34033854166
18,70225.422578125,70624.79115885416
19,70238.84785807291,70571.06858072917
20,70219.78516276041,70649.11442708333
21,70217.9478938802,70657.28727864583
22,70237.42663736979,70575.32981770833
23,70205.60980143229,70705.41688802083
24,70189.3074576823,70769.80662760416
25,70213.58465169271,70670.9132421875
26,70217.92839518229,70656.803125
27,70235.00975260416,70586.3933203125
28,70241.7483984375,70560.25708333333
29,70234.12696289063,70589.37397135417
30,70199.16681315104,70729.39559895833
31,70219.39764648437,70648.9680078125
32,70207.29143880209,70693.731875
33,70229.0099609375,70610.4483203125
34,70234.89205078124,70585.09002604167
35,70188.79682942708,70774.21739583333
36,70237.19635742187,70578.60697916667
37,70230.7577311198,70604.05287760416
38,70207.77693359375,70695.22634114583
39,70201.78158854166,70720.22147135416
40,70220.01141601562,70645.0988671875
41,70220.9245279948,70643.59970052083
42,70214.61138671875,70671.59958333333
43,70257.43487955729,70495.97811197917
44,70219.94702473958,70647.20440104167
45,70215.88155598959,70664.95428385417
46,70226.4034375,70618.9005078125
47,70227.68835286458,70614.62751302084
48,70240.43308919271,70566.441640625
49,70236.15491536459,70585.1596875
50,70212.57655273438,70678.7586328125
51,70190.0722623698,70766.9434375
52,70210.83983398437,70686.86248697917
53,70226.813515625,70619.74776041666
54,70220.9725,70642.13760416667
55,70228.84291992188,70612.63380208334
56,70229.078671875,70608.31850260416
57,70223.64393554688,70633.71513020834
58,70220.86751302083,70642.25139322916
59,70218.27990234375,70656.45713541667
60,70250.23451497396,70525.78803385417
61,70226.73822591145,70618.22635416666
62,70218.21222330729,70654.54903645834
63,70219.48090494792,70650.13200520833
64,70210.999296875,70682.82936197917
65,70244.56084960938,70549.7275390625
66,70239.02591471354,70568.99951822916
67,70220.82712239583,70644.10819010416
68,70227.00079427083,70618.0551953125
69,70215.38975585937,70665.67598958334
70,70201.97829427083,70720.08016927083
71,70221.69846028645,70639.85709635417
72,70225.171171875,70625.10944010416
73,70219.22597005208,70650.43985677083
74,70219.48743489584,70649.57352864584
75,70237.13466471354,70579.26151041666
76,70236.24512369791,70579.98029947917
77,70212.75598632812,70673.65373697916
78,70212.0137890625,70676.37044270833
79,70236.28750651042,70584.238828125
80,70220.91674153646,70641.90625
81,70224.3024641927,70628.39015625
82,70201.99614257812,70718.96578125
83,70217.39294596354,70658.73673177083
84,70220.19313151042,70645.3562109375
85,70230.20297200521,70605.51111979167
86,70217.20229492188,70655.79427083333
87,70213.19502929687,70677.172109375
88,70211.56134440104,70680.4323046875
89,70229.42728841146,70609.85893229167
90,70207.58352213542,70695.9133203125
91,70201.15051757812,70724.1932421875
92,70243.73151692709,70554.14063802084
93,70203.4732845052,70710.62149739583
94,70221.77407877604,70641.81907552083
95,70227.24208333333,70620.2333203125
96,70210.39940429687,70686.3930078125
97,70197.93693359375,70735.16196614584
98,70223.97650390625,70631.88947916667
99,70223.35157226563,70635.45404947917
100,70243.06235351562,70555.06846354167
101,70232.56236653645,70596.10229166667
102,70229.15149739584,70610.91216145833
103,70197.00590494792,70739.3679296875
104,70230.13390625,70606.27076822917
105,70236.89047851562,70579.06322916667
106,70226.32946940104,70621.61834635417
107,70246.15588541667,70539.99149739584
108,70209.38500976562,70689.88529947917
109,70229.43973958334,70610.1036328125
110,70232.78653971355,70596.16040364583
111,70256.0961328125,70503.4711328125
112,70229.45134765626,70606.94102864583
