mass,epsilon,llp_rate,LLPModel_unique_id
0.113,4.9185459691115625e-06,7.758108449145185e-09,DLS_0.113_4.9185459691115625e-06_7.677138942762501e-10
0.113,5.716666501913616e-06,1.1059926053542578e-08,DLS_0.113_5.716666501913616e-06_5.683124310606893e-10
0.113,6.6442961190834e-06,1.530764559008124e-08,DLS_0.113_6.6442961190834e-06_4.2070232375121197e-10
0.113,7.722449945836254e-06,2.0540615788896022e-08,DLS_0.113_7.722449945836254e-06_3.114315920898254e-10
0.113,8.975553180819605e-06,2.6684106466398506e-08,DLS_0.113_8.975553180819605e-06_2.3054219355574445e-10
0.114,1.043199444046343e-05,2.7443680993715937e-08,DLS_0.114_1.043199444046343e-05_1.344281644082879e-10
0.114,1.212476889317728e-05,3.2256983338136975e-08,DLS_0.114_1.212476889317728e-05_9.951258859255419e-11
0.114,1.4092225753374626e-05,3.644180193414091e-08,DLS_0.114_1.4092225753374626e-05_7.366577779277015e-11
0.114,1.6378937069540613e-05,3.948605284397667e-08,DLS_0.114_1.6378937069540613e-05_5.4532264656814144e-11
0.114,1.9952623149688787e-06,5.705406805459195e-10,DLS_0.114_1.9952623149688787e-06_3.6747260015066054e-09
0.114,2.3190286946883035e-06,9.224249379546722e-10,DLS_0.114_2.3190286946883035e-06_2.720274418593066e-09
0.114,2.6953318600976127e-06,1.46151457186247e-09,DLS_0.114_2.6953318600976127e-06_2.0137264409422506e-09
0.114,3.13269682807168e-06,2.2649348256727553e-09,DLS_0.114_3.1326968280716798e-06_1.490693053330719e-09
0.114,3.641031949310677e-06,3.4263627288982286e-09,DLS_0.114_3.641031949310677e-06_1.1035092622653702e-09
0.114,4.231853378566934e-06,5.0502556580403115e-09,DLS_0.114_4.231853378566934e-06_8.168902975596751e-10
0.114,4.9185459691115625e-06,7.240054266690089e-09,DLS_0.114_4.9185459691115625e-06_6.047160464038366e-10
0.114,5.716666501913616e-06,1.0079636947000164e-08,DLS_0.114_5.716666501913616e-06_4.476506794984609e-10
0.114,6.6442961190834e-06,1.360836080285854e-08,DLS_0.114_6.6442961190834e-06_3.313805414080416e-10
0.114,7.722449945836254e-06,1.7791610504417483e-08,DLS_0.114_7.722449945836254e-06_2.453097208451001e-10
0.114,8.975553180819605e-06,2.249125352074534e-08,DLS_0.114_8.975553180819605e-06_1.815944258084931e-10
0.115,1.043199444046343e-05,2.249448333782486e-08,DLS_0.115_1.043199444046343e-05_1.089953140149257e-10
0.115,1.212476889317728e-05,2.5709317495326065e-08,DLS_0.115_1.212476889317728e-05_8.06855162370635e-11
0.115,1.4092225753374626e-05,2.819827589915969e-08,DLS_0.115_1.4092225753374626e-05_5.972873778362547e-11
0.115,1.6378937069540613e-05,2.9625231843241254e-08,DLS_0.115_1.6378937069540613e-05_4.421514893383489e-11
0.115,1.9952623149688787e-06,5.853792226538338e-10,DLS_0.115_1.9952623149688787e-06_2.979494038440735e-09
0.115,2.3190286946883035e-06,9.33177887590671e-10,DLS_0.115_2.3190286946883035e-06_2.2056178909115625e-09
0.115,2.6953318600976127e-06,1.4558499635431704e-09,DLS_0.115_2.6953318600976127e-06_1.6327437537868166e-09
0.115,3.13269682807168e-06,2.2183749073937204e-09,DLS_0.115_3.1326968280716798e-06_1.2086645545063533e-09
0.115,3.641031949310677e-06,3.295199293020347e-09,DLS_0.115_3.641031949310677e-06_8.947331765513388e-10
0.115,4.231853378566934e-06,4.762991062289065e-09,DLS_0.115_4.231853378566934e-06_6.623404767161537e-10
0.115,4.9185459691115625e-06,6.688562849298999e-09,DLS_0.115_4.9185459691115625e-06_4.903080813293239e-10
0.115,5.716666501913616e-06,9.111961209928105e-09,DLS_0.115_5.716666501913616e-06_3.629583621534703e-10
0.115,6.6442961190834e-06,1.2025732743541891e-08,DLS_0.115_6.6442961190834e-06_2.686857053221709e-10
0.115,7.722449945836254e-06,1.5352980112642477e-08,DLS_0.115_7.722449945836254e-06_1.98898870427312e-10
