mass,epsilon,llp_rate,LLPModel_unique_id
0.127,3.1326968280716798e-06,1.1771039029840383e-09,DLS_0.127_3.1326968280716798e-06_2.8019362137120876e-10
0.127,3.641031949310677e-06,1.4989909873108264e-09,DLS_0.127_3.641031949310677e-06_2.0741778847090936e-10
0.127,4.231853378566934e-06,1.843128507046127e-09,DLS_0.127_4.231853378566934e-06_1.5354431968730025e-10
0.127,4.9185459691115625e-06,2.183912281174426e-09,DLS_0.127_4.9185459691115625e-06_1.1366362683759025e-10
0.127,5.716666501913616e-06,2.4882712616416305e-09,DLS_0.127_5.716666501913616e-06_8.414130911639053e-11
0.127,6.6442961190834e-06,2.720279460985006e-09,DLS_0.127_6.6442961190834e-06_6.228694347344725e-11
0.127,7.722449945836254e-06,2.848447703682673e-09,DLS_0.127_7.722449945836254e-06_4.61089014184195e-11
0.127,8.975553180819605e-06,2.8535597966708943e-09,DLS_0.127_8.975553180819605e-06_3.4132848257674547e-11
0.128,1.043199444046343e-05,2.3517606660458116e-09,DLS_0.128_1.043199444046343e-05_2.340276300619448e-11
0.128,1.212476889317728e-05,2.128528532038728e-09,DLS_0.128_1.212476889317728e-05_1.7324267851275488e-11
0.128,1.4092225753374626e-05,1.8421124327241548e-09,DLS_0.128_1.4092225753374626e-05_1.2824565052566437e-11
0.128,1.6378937069540613e-05,1.523630730324737e-09,DLS_0.128_1.6378937069540613e-05_9.493588427484436e-12
0.128,1.9952623149688787e-06,4.528239934708086e-10,DLS_0.128_1.9952623149688787e-06_6.397375289955062e-10
0.128,2.3190286946883035e-06,6.294478825607569e-10,DLS_0.128_2.3190286946883035e-06_4.735758894750039e-10
0.128,2.6953318600976127e-06,8.483299235643023e-10,DLS_0.128_2.6953318600976127e-06_3.50572090782588e-10
0.128,3.1326968280716798e-06,1.106981408122029e-09,DLS_0.128_3.1326968280716798e-06_2.5951657076951353e-10
0.128,3.641031949310677e-06,1.396459156950408e-09,DLS_0.128_3.641031949310677e-06_1.921112726162076e-10
0.128,4.231853378566934e-06,1.70007140346534e-09,DLS_0.128_4.231853378566934e-06_1.422134276697013e-10
0.128,4.9185459691115625e-06,1.993322625436078e-09,DLS_0.128_4.9185459691115625e-06_1.052757536512146e-10
0.128,5.716666501913616e-06,2.2460043550507636e-09,DLS_0.128_5.716666501913616e-06_7.79320524681546e-11
0.128,6.6442961190834e-06,2.4269776220590357e-09,DLS_0.128_6.6442961190834e-06_5.76904423977888e-11
0.128,7.722449945836254e-06,2.5109460669263432e-09,DLS_0.128_7.722449945836254e-06_4.270626832794615e-11
0.128,8.975553180819605e-06,2.484955821854021e-09,DLS_0.128_8.975553180819605e-06_3.161399494777389e-11
0.129,1.043199444046343e-05,2.030099306463648e-09,DLS_0.129_1.043199444046343e-05_2.1759741170666176e-11
0.129,1.212476889317728e-05,1.816154139066222e-09,DLS_0.129_1.212476889317728e-05_1.610799478314877e-11
0.129,1.4092225753374626e-05,1.553415655707813e-09,DLS_0.129_1.4092225753374626e-05_1.1924199552691803e-11
0.129,1.6378937069540613e-05,1.2696068438759038e-09,DLS_0.129_1.6378937069540613e-05_8.8270785337703e-12
0.129,1.9952623149688787e-06,4.365951306450608e-10,DLS_0.129_1.9952623149688787e-06_5.948239122200715e-10
0.129,2.3190286946883035e-06,6.020916787857756e-10,DLS_0.129_2.3190286946883035e-06_4.4032786970138934e-10
0.129,2.6953318600976127e-06,8.04754113521991e-10,DLS_0.129_2.6953318600976127e-06_3.2595971488790664e-10
