mass,epsilon,llp_rate,LLPModel_unique_id
0.127,1.8478497974222908e-05,6.779226471919714e-09,DLS_0.127_1.8478497974222908e-05_8.053073180725255e-12
0.127,2.2387211385683376e-06,3.6876966762964528e-09,DLS_0.127_2.2387211385683376e-06_5.486494889571496e-10
0.127,2.2820929710674507e-05,4.136863252965227e-09,DLS_0.127_2.2820929710674507e-05_5.279931793709031e-12
0.127,2.7648187540101058e-06,5.625271952328403e-09,DLS_0.127_2.7648187540101058e-06_3.597175656220943e-10
0.127,2.818382931264455e-05,2.248186290403511e-09,DLS_0.127_2.818382931264455e-05_3.4617442460281733e-12
0.127,3.414548873833601e-06,8.052775717057568e-09,DLS_0.127_3.414548873833601e-06_2.3584588999260284e-10
0.127,3.480700588428413e-05,1.1069365572425635e-09,DLS_0.127_3.480700588428413e-05_2.2696643996779573e-12
0.127,4.216965034285822e-06,1.0761665332396302e-08,DLS_0.127_4.216965034285822e-06_1.546304354923793e-10
0.127,4.2986623470822724e-05,5.112189169144901e-10,DLS_0.127_4.2986623470822724e-05_1.4880869645630077e-12
0.127,5.207948328595465e-06,1.3342166679842214e-08,DLS_0.127_5.207948328595465e-06_1.01382184702531e-10
0.127,5.308844442309879e-05,2.2953622846720884e-10,DLS_0.127_5.308844442309879e-05_9.756520895408765e-13
0.127,6.30957344480193e-07,9.969305462901493e-11,DLS_0.127_6.30957344480193e-07_6.907087838160384e-09
0.127,6.431811877215091e-06,1.5235224133035507e-08,DLS_0.127_6.431811877215091e-06_6.647040307640251e-11
0.127,6.556418494179785e-05,1.0789795121232634e-10,DLS_0.127_6.556418494179785e-05_6.396783403750954e-13
0.127,7.79231798434194e-07,2.0208555192148987e-10,DLS_0.127_7.79231798434194e-07_4.528575844303901e-09
0.127,7.943282347242822e-06,1.5902094240210218e-08,DLS_0.127_7.943282347242822e-06_4.358077800457102e-11
0.127,9.623506263980887e-07,3.9529909740227154e-10,DLS_0.127_9.623506263980887e-07_2.969123841788993e-09
0.127,9.809947127268783e-06,1.50654599537231e-08,DLS_0.127_9.809947127268783e-06_2.8573381889991314e-11
0.128,1.1885022274370166e-06,7.328618020301679e-10,DLS_0.128_1.1885022274370166e-06_1.8030253322102374e-09
0.128,1.2115276586285876e-05,1.0817025022234716e-08,DLS_0.128_1.2115276586285876e-05_1.7351425578641407e-11
0.128,1.4677992676220675e-06,1.3040452964517002e-09,DLS_0.128_1.4677992676220675e-06_1.1821388633577851e-09
0.128,1.4962356560944327e-05,8.124271329773044e-09,DLS_0.128_1.4962356560944327e-05_1.137632075641887e-11
0.128,1.8127308811846967e-06,2.2054033693614833e-09,DLS_0.128_1.8127308811846967e-06_7.750597106407654e-10
0.128,1.8478497974222908e-05,5.447025742764899e-09,DLS_0.128_1.8478497974222908e-05_7.458791980310604e-12
0.128,2.2387211385683376e-06,3.528849176666898e-09,DLS_0.128_2.2387211385683376e-06_5.081615820938748e-10
0.128,2.2820929710674507e-05,3.2476755030905857e-09,DLS_0.128_2.2820929710674507e-05_4.890296168394831e-12
0.128,2.7648187540101058e-06,5.318711658166619e-09,DLS_0.128_2.7648187540101058e-06_3.3317199948719394e-10
0.128,2.818382931264455e-05,1.7274237494784353e-09,DLS_0.128_2.818382931264455e-05_3.206282824048041e-12
0.128,3.414548873833601e-06,7.515710798114895e-09,DLS_0.128_3.414548873833601e-06_2.1844150591806954e-10
0.128,3.480700588428413e-05,8.374622266981884e-10,DLS_0.128_3.480700588428413e-05_2.102173200515957e-12
0.128,4.216965034285822e-06,9.90298365908625e-09,DLS_0.128_4.216965034285822e-06_1.4321939292977146e-10
0.128,4.2986623470822724e-05,3.8353300585201967e-10,DLS_0.128_4.2986623470822724e-05_1.3782727249831982e-12
0.128,5.207948328595465e-06,1.2088866869962068e-08,DLS_0.128_5.207948328595465e-06_9.390062765299553e-11
0.128,5.308844442309879e-05,1.724095200437716e-10,DLS_0.128_5.308844442309879e-05_9.036532784103411e-13
0.128,6.30957344480193e-07,1.0058999905602221e-10,DLS_0.128_6.30957344480193e-07_6.3973752899550626e-09
0.128,6.431811877215091e-06,1.3571712524591342e-08,DLS_0.128_6.431811877215091e-06_6.156518117591896e-11
0.128,6.556418494179785e-05,8.283402997415495e-11,DLS_0.128_6.556418494179785e-05_5.924729066895756e-13
0.128,7.79231798434194e-07,2.0257470956495552e-10,DLS_0.128_7.79231798434194e-07_4.1943869665270135e-09
0.128,7.943282347242822e-06,1.3907102380810017e-08,DLS_0.128_7.943282347242822e-06_4.0364709245932416e-11
0.128,9.623506263980887e-07,3.9332557477944523e-10,DLS_0.128_9.623506263980887e-07_2.750015627908436e-09
0.128,9.809947127268783e-06,1.29186259447367e-08,DLS_0.128_9.809947127268783e-06_2.6464792621222116e-11
0.129,1.1885022274370166e-06,7.2206057793183e-10,DLS_0.129_1.1885022274370166e-06_1.676441561308999e-09
0.129,1.2115276586285876e-05,9.119747847306172e-09,DLS_0.129_1.2115276586285876e-05_1.613324586645502e-11
0.129,1.4677992676220675e-06,1.2732532389231435e-09,DLS_0.129_1.4677992676220675e-06_1.0991452456977956e-09
0.129,1.4962356560944327e-05,6.7081823121713405e-09,DLS_0.129_1.4962356560944327e-05_1.0577631156997528e-11
0.129,1.8127308811846967e-06,2.1320601693044456e-09,DLS_0.129_1.8127308811846967e-06_7.206456216682812e-10
0.129,1.8478497974222908e-05,4.400753506872962e-09,DLS_0.129_1.8478497974222908e-05_6.93513765423509e-12
0.129,2.2387211385683376e-06,3.3749681691905433e-09,DLS_0.129_2.2387211385683376e-06_4.724854281655607e-10
0.129,2.2820929710674507e-05,2.566624905822324e-09,DLS_0.129_2.2820929710674507e-05_4.546966477590957e-12
0.129,2.7648187540101058e-06,5.028025657585516e-09,DLS_0.129_2.7648187540101058e-06_3.0978121994551366e-10
0.129,2.818382931264455e-05,1.3385505647177205e-09,DLS_0.129_2.818382931264455e-05_2.9811815106092853e-12
0.129,3.414548873833601e-06,7.016175720019536e-09,DLS_0.129_3.414548873833601e-06_2.031055319600341e-10
0.129,3.480700588428413e-05,6.403404754043528e-10,DLS_0.129_3.480700588428413e-05_1.954587359066555e-12
0.129,4.216965034285822e-06,9.118919486481893e-09,DLS_0.129_4.216965034285822e-06_1.3316448660129915e-10
0.129,4.2986623470822724e-05,2.9126369351869437e-10,DLS_0.129_4.2986623470822724e-05_1.2815092709474035e-12
0.129,5.207948328595465e-06,1.0965635852284249e-08,DLS_0.129_5.207948328595465e-06_8.73082102720714e-11
0.129,5.308844442309879e-05,1.3152406173321436e-10,DLS_0.129_5.308844442309879e-05_8.402111084502412e-13
0.129,6.30957344480193e-07,1.0128817899310913e-10,DLS_0.129_6.30957344480193e-07_5.948239122200715e-09
0.129,6.431811877215091e-06,1.210975516722046e-08,DLS_0.129_6.431811877215091e-06_5.7242916452154634e-11
0.129,6.556418494179785e-05,6.465167586356872e-11,DLS_0.129_6.556418494179785e-05_5.508775650458459e-13
0.129,7.79231798434194e-07,2.0268184463350594e-10,DLS_0.129_7.79231798434194e-07_3.89991449886005e-09
0.129,7.943282347242822e-06,1.2189927833224932e-08,DLS_0.129_7.943282347242822e-06_3.753085160876949e-11
0.129,9.623506263980887e-07,3.906947962513361e-10,DLS_0.129_9.623506263980887e-07_2.556947154604592e-09
0.129,9.809947127268783e-06,1.1110781060289395e-08,DLS_0.129_9.809947127268783e-06_2.4606796959005348e-11
0.131,1.1885022274370166e-06,6.983140416042066e-10,DLS_0.131_1.1885022274370166e-06_1.4643240383599595e-09
0.131,1.2115276586285876e-05,6.552134691297853e-09,DLS_0.131_1.2115276586285876e-05_1.4091931555654833e-11
0.131,1.4677992676220675e-06,1.210184486122285e-09,DLS_0.131_1.4677992676220675e-06_9.600721206575268e-10
0.131,1.4962356560944327e-05,4.6330935807813585e-09,DLS_0.131_1.4962356560944327e-05_9.239260067021103e-12
0.131,1.8127308811846967e-06,1.9883473496759843e-09,DLS_0.131_1.8127308811846967e-06_6.294634607625416e-10
0.131,1.8478497974222908e-05,2.917205691894379e-09,DLS_0.131_1.8478497974222908e-05_6.057645557595393e-12
0.131,2.2387211385683376e-06,3.083469848985072e-09,DLS_0.131_2.2387211385683376e-06_4.127025875553939e-10
0.131,2.2820929710674507e-05,1.6335298706649973e-09,DLS_0.131_2.2820929710674507e-05_3.971645936500446e-12
0.131,2.7648187540101058e-06,4.492998366024633e-09,DLS_0.131_2.7648187540101058e-06_2.705850877644037e-10
0.131,2.818382931264455e-05,8.233238604967522e-10,DLS_0.131_2.818382931264455e-05_2.6039772870405513e-12
0.131,3.414548873833601e-06,6.120659727978167e-09,DLS_0.131_3.414548873833601e-06_1.774069073667796e-10
0.131,3.480700588428413e-05,3.8557148557103363e-10,DLS_0.131_3.480700588428413e-05_1.7072764843176774e-12
0.131,4.216965034285822e-06,7.748829480607519e-09,DLS_0.131_4.216965034285822e-06_1.163153928454794e-10
0.131,4.2986623470822724e-05,1.7378790670961552e-10,DLS_0.131_4.2986623470822724e-05_1.1193619116458709e-12
0.131,5.207948328595465e-06,9.053440041781152e-09,DLS_0.131_5.207948328595465e-06_7.626123928098882e-11
0.131,5.308844442309879e-05,7.998836896470956e-11,DLS_0.131_5.308844442309879e-05_7.339005139195429e-13
0.131,6.30957344480193e-07,1.021575098218342e-10,DLS_0.131_6.30957344480193e-07_5.195617749866923e-09
0.131,6.431811877215091e-06,9.688336906789368e-09,DLS_0.131_6.431811877215091e-06_5.00000599610945e-11
0.131,6.556418494179785e-05,4.097660383343435e-11,DLS_0.131_6.556418494179785e-05_4.811758902350139e-13
0.131,7.79231798434194e-07,2.019123056747008e-10,DLS_0.131_7.79231798434194e-07_3.4064644303916244e-09
0.131,7.943282347242822e-06,9.427300225801023e-09,DLS_0.131_7.943282347242822e-06_3.278213178390181e-11
0.131,9.623506263980887e-07,3.8381203391988297e-10,DLS_0.131_9.623506263980887e-07_2.2334206391185256e-09
0.131,9.809947127268783e-06,8.289301100386681e-09,DLS_0.131_9.809947127268783e-06_2.1493337510661284e-11
0.132,1.1885022274370166e-06,6.856569540336684e-10,DLS_0.132_1.1885022274370166e-06_1.3748617194589297e-09
0.132,1.2115276586285876e-05,5.581889086788531e-09,DLS_0.132_1.2115276586285876e-05_1.3230990369320518e-11
0.132,1.4677992676220675e-06,1.1783829819869596e-09,DLS_0.132_1.4677992676220675e-06_9.014168804400346e-10
0.132,1.4962356560944327e-05,3.8738681650118e-09,DLS_0.132_1.4962356560944327e-05_8.674790995372767e-12
0.132,1.8127308811846967e-06,1.9185802873670527e-09,DLS_0.132_1.8127308811846967e-06_5.910066305882893e-10
0.132,1.8478497974222908e-05,2.392410705948835e-09,DLS_0.132_1.8478497974222908e-05_5.6875560115206264e-12
0.132,2.2387211385683376e-06,2.9461946773890572e-09,DLS_0.132_2.2387211385683376e-06_3.8748868029719404e-10
0.132,2.2820929710674507e-05,1.3149057406102846e-09,DLS_0.132_2.2820929710674507e-05_3.728999742061727e-12
0.132,2.7648187540101058e-06,4.247671960331546e-09,DLS_0.132_2.7648187540101058e-06_2.5405379497858405e-10
0.132,2.818382931264455e-05,6.531404778187825e-10,DLS_0.132_2.818382931264455e-05_2.444888287364515e-12
0.132,3.414548873833601e-06,5.720179176776245e-09,DLS_0.132_3.414548873833601e-06_1.6656829999141477e-10
0.132,3.480700588428413e-05,3.0329933135709515e-10,DLS_0.132_3.480700588428413e-05_1.6029710783480248e-12
0.132,4.216965034285822e-06,7.151102326582996e-09,DLS_0.132_4.216965034285822e-06_1.0920914826077986e-10
0.132,4.2986623470822724e-05,1.3641264897247132e-10,DLS_0.132_4.2986623470822724e-05_1.0509749223716343e-12
0.132,5.207948328595465e-06,8.2403520079367e-09,DLS_0.132_5.207948328595465e-06_7.160208793905992e-11
0.132,5.308844442309879e-05,6.366933233997641e-11,DLS_0.132_5.308844442309879e-05_6.890631417956549e-13
0.132,6.30957344480193e-07,1.023599314296179e-10,DLS_0.132_6.30957344480193e-07_4.87819346408723e-09
0.132,6.431811877215091e-06,8.68643533377243e-09,DLS_0.132_6.431811877215091e-06_4.694532535855398e-11
0.132,6.556418494179785e-05,3.311955553821783e-11,DLS_0.132_6.556418494179785e-05_4.51778632652666e-13
0.132,7.79231798434194e-07,2.0110714352627922e-10,DLS_0.132_7.79231798434194e-07_3.198347784612847e-09
0.132,7.943282347242822e-06,8.316914510027406e-09,DLS_0.132_7.943282347242822e-06_3.0779319939611057e-11
0.132,9.623506263980887e-07,3.797108691673709e-10,DLS_0.132_9.623506263980887e-07_2.096970656585461e-09
0.132,9.809947127268783e-06,7.189202787097981e-09,DLS_0.132_9.809947127268783e-06_2.018021024903426e-11
